gp_title,year,clean_weather,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
Singapore Grand Prix,2014,clear sky,14,1,0,0,0,0
Italian Grand Prix,2014,sunny,13,1,0,0,0,0
Belgian Grand Prix,2014,cloudy,12,0,0,0,0,1
Hungarian Grand Prix,2014,overcast,11,0,0,0,0,1
German Grand Prix,2014,cloudy,10,0,0,0,0,1
British Grand Prix,2014,cloudy,9,0,0,0,0,1
Austrian Grand Prix,2014,"partly cloudy,hot,dry",8,1,0,1,0,1
Canadian Grand Prix,2014,sunny,7,1,0,0,0,0
Monaco Grand Prix,2014,overcast,6,0,0,0,0,1
Spanish Grand Prix,2014,sunny,5,1,0,0,0,0
Chinese Grand Prix,2014,"mostly cloudy,dry",4,0,0,1,0,1
Bahrain Grand Prix,2014,dry,3,0,0,1,0,0
Malaysian Grand Prix,2014,dry,2,0,0,1,0,0
Australian Grand Prix,2014,overcast,1,0,0,0,0,1
Brazilian Grand Prix,2013,dry,19,0,0,1,0,0
US Grand Prix,2013,"partly cloud,warm",18,1,0,0,0,1
Abu Dhabi Grand Prix,2013,dry,17,0,0,1,0,0
Indian Grand Prix,2013,sunny,16,1,0,0,0,0
Japanese Grand Prix,2013,"warm,sunny",15,1,0,0,0,0
Korean Grand Prix,2013,cloudy,14,0,0,0,0,1
Singapore Grand Prix,2013,dry,13,0,0,1,0,0
Italian Grand Prix,2013,cloudy,12,0,0,0,0,1
Belgian Grand Prix,2013,cloudy,11,0,0,0,0,1
Hungarian Grand Prix,2013,sunny,10,1,0,0,0,0
German Grand Prix,2013,sunny,9,1,0,0,0,0
British Grand Prix,2013,dry,8,0,0,1,0,0
Canadian Grand Prix,2013,mild,7,0,1,0,0,0
Monaco Grand Prix,2013,"warm,sunny",6,1,0,0,0,0
Spanish Grand Prix,2013,sunny,5,1,0,0,0,0
Bahrain Grand Prix,2013,sunny,4,1,0,0,0,0
Chinese Grand Prix,2013,cloudy,3,0,0,0,0,1
Malaysian Grand Prix,2013,"cloudy,dry",2,0,0,1,0,1
Australian Grand Prix,2013,"fine,dry",1,1,0,1,0,0
