resultId,raceId,driverId,constructorId,grid,race_rank,statusId,year,round,circuitId,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10,driver_is_active,driver_avg_point,driver_avg_speed,race_end_bf_2019,race_end_in_2019,race_end_in_2020,race_end_in_2021,race_end_in_2022,race_end_in_2023,driver_most_won_circuit_id,driver_nber_of_races_won,driver_nber_of_times_in_top_10,age
87,21,16,10,20,0,4,2008,4,4,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
88,21,20,5,18,0,4,2008,4,4,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
89,22,13,6,1,3,1,2008,5,5,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
90,22,1,1,3,2,1,2008,5,5,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
91,22,8,6,4,1,1,2008,5,5,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
92,22,9,2,5,4,1,2008,5,5,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
93,22,2,2,9,5,1,2008,5,5,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
94,22,4,4,7,6,1,2008,5,5,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
95,22,17,9,6,7,1,2008,5,5,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
96,22,3,3,11,9,1,2008,5,5,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
97,22,14,9,10,12,1,2008,5,5,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
98,22,15,7,8,11,1,2008,5,5,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
99,22,18,11,13,13,11,2008,5,5,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
100,22,5,1,2,8,11,2008,5,5,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
101,22,10,7,15,16,11,2008,5,5,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
102,22,22,11,12,14,11,2008,5,5,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
103,22,12,4,17,10,11,2008,5,5,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
104,22,16,10,19,18,11,2008,5,5,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
105,22,20,5,14,15,11,2008,5,5,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
106,22,7,5,18,17,22,2008,5,5,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
107,22,6,3,16,0,4,2008,5,5,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
108,22,21,10,20,0,4,2008,5,5,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
109,23,1,1,3,6,1,2008,6,6,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
110,23,9,2,5,5,1,2008,6,6,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
111,23,13,6,1,4,1,2008,6,6,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
112,23,17,9,9,8,1,2008,6,6,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
113,23,20,5,19,7,1,2008,6,6,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
114,23,22,11,14,9,1,2008,6,6,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
115,23,6,3,13,13,1,2008,6,6,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
116,23,5,1,4,2,1,2008,6,6,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
117,23,8,6,2,1,1,2008,6,6,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
118,23,4,4,7,3,11,2008,6,6,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
119,23,18,11,11,10,11,2008,6,6,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
120,23,10,7,10,11,11,2008,6,6,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
121,23,15,7,8,12,11,2008,6,6,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
122,23,2,2,12,14,14,2008,6,6,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
123,23,16,10,18,16,4,2008,6,6,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
124,23,3,3,6,15,3,2008,6,6,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
